id,title,overview,genres,keywords,original_language,release_date,vote_average,vote_count,popularity,runtime,adult,video,genre_list,keyword_list,genres_str,keywords_str,release_year,clean_overview,model_text
100011,붉은 전화의 하루 011,"한강변을 배경으로, 택배 기사가 실종 사건의 단서가 된 노래를 해석하기 시작한다. 이 과정에서 선택과 책임을 마주하며 자신의 삶을 다시 바라본다. 범죄와 다큐멘터리의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 7, ""name"": ""범죄""}, {""id"": 15, ""name"": ""다큐멘터리""}]","[{""id"": 109, ""name"": ""로봇""}, {""id"": 118, ""name"": ""미래""}, {""id"": 125, ""name"": ""탐정""}, {""id"": 121, ""name"": ""가짜뉴스""}]",ko,2000-10-10,7.5,1450,28.009,78,False,False,"['범죄', '다큐멘터리']","['로봇', '미래', '탐정', '가짜뉴스']",범죄 다큐멘터리,로봇 미래 탐정 가짜뉴스,2000,"한강변을 배경으로, 택배 기사가 실종 사건의 단서가 된 노래를 해석하기 시작한다. 이 과정에서 선택과 책임을 마주하며 자신의 삶을 다시 바라본다. 범죄와 다큐멘터리의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","한강변을 배경으로, 택배 기사가 실종 사건의 단서가 된 노래를 해석하기 시작한다. 이 과정에서 선택과 책임을 마주하며 자신의 삶을 다시 바라본다. 범죄와 다큐멘터리의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 범죄 다큐멘터리 로봇 미래 탐정 가짜뉴스"
100012,검은 편지에서 만난 사람 012,"대구의 오래된 극장을 배경으로, 가족과 멀어진 의사가 서로 다른 목적을 가진 사람들과 뜻밖의 팀을 이룬다. 이 과정에서 지역 공동체을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 범죄의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 12, ""name"": ""애니메이션""}, {""id"": 7, ""name"": ""범죄""}]","[{""id"": 101, ""name"": ""가족""}, {""id"": 115, ""name"": ""요리""}, {""id"": 111, ""name"": ""성장""}, {""id"": 117, ""name"": ""범죄""}]",ko,2000-11-29,5.8,1587,23.59,91,False,False,"['애니메이션', '범죄']","['가족', '요리', '성장', '범죄']",애니메이션 범죄,가족 요리 성장 범죄,2000,"대구의 오래된 극장을 배경으로, 가족과 멀어진 의사가 서로 다른 목적을 가진 사람들과 뜻밖의 팀을 이룬다. 이 과정에서 지역 공동체을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 범죄의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","대구의 오래된 극장을 배경으로, 가족과 멀어진 의사가 서로 다른 목적을 가진 사람들과 뜻밖의 팀을 이룬다. 이 과정에서 지역 공동체을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 범죄의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 애니메이션 범죄 가족 요리 성장 범죄"
100013,하얀 시장의 밤 013,"달 기지을 배경으로, 고향으로 돌아온 요리사가 마을 사람들만 알고 있는 비밀스러운 규칙을 알게 된다. 이 과정에서 기술과 인간성을 마주하며 자신의 삶을 다시 바라본다. 코미디와 역사의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","[{""id"": 2, ""name"": ""코미디""}, {""id"": 14, ""name"": ""역사""}]","[{""id"": 115, ""name"": ""요리""}, {""id"": 101, ""name"": ""가족""}, {""id"": 116, ""name"": ""학교""}, {""id"": 112, ""name"": ""사랑""}]",ko,2001-01-18,7.4,1724,36.614,104,False,False,"['코미디', '역사']","['요리', '가족', '학교', '사랑']",코미디 역사,요리 가족 학교 사랑,2001,"달 기지을 배경으로, 고향으로 돌아온 요리사가 마을 사람들만 알고 있는 비밀스러운 규칙을 알게 된다. 이 과정에서 기술과 인간성을 마주하며 자신의 삶을 다시 바라본다. 코미디와 역사의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","달 기지을 배경으로, 고향으로 돌아온 요리사가 마을 사람들만 알고 있는 비밀스러운 규칙을 알게 된다. 이 과정에서 기술과 인간성을 마주하며 자신의 삶을 다시 바라본다. 코미디와 역사의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화. 코미디 역사 요리 가족 학교 사랑"
100014,마지막 달의 온도 014,"제주도의 작은 해안마을을 배경으로, 택배 기사가 인공지능이 작성한 의문의 일기를 추적한다. 이 과정에서 기억과 정체성을 마주하며 자신의 삶을 다시 바라본다. 범죄와 액션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 7, ""name"": ""범죄""}, {""id"": 6, ""name"": ""액션""}]","[{""id"": 123, ""name"": ""역사""}, {""id"": 120, ""name"": ""언론""}, {""id"": 108, ""name"": ""인공지능""}, {""id"": 112, ""name"": ""사랑""}]",ko,2001-03-09,5.6,1861,33.635,117,False,False,"['범죄', '액션']","['역사', '언론', '인공지능', '사랑']",범죄 액션,역사 언론 인공지능 사랑,2001,"제주도의 작은 해안마을을 배경으로, 택배 기사가 인공지능이 작성한 의문의 일기를 추적한다. 이 과정에서 기억과 정체성을 마주하며 자신의 삶을 다시 바라본다. 범죄와 액션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","제주도의 작은 해안마을을 배경으로, 택배 기사가 인공지능이 작성한 의문의 일기를 추적한다. 이 과정에서 기억과 정체성을 마주하며 자신의 삶을 다시 바라본다. 범죄와 액션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 범죄 액션 역사 언론 인공지능 사랑"
100015,첫 번째 호텔 너머 015,"강원도의 산골마을을 배경으로, 가족과 멀어진 의사가 우연히 과거의 사건과 연결된 사진을 발견한다. 이 과정에서 우정과 신뢰을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 음악의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 12, ""name"": ""애니메이션""}, {""id"": 13, ""name"": ""음악""}]","[{""id"": 111, ""name"": ""성장""}, {""id"": 107, ""name"": ""바다""}, {""id"": 120, ""name"": ""언론""}, {""id"": 122, ""name"": ""공동체""}]",ko,2000-09-23,7.2,1998,31.802,130,False,False,"['애니메이션', '음악']","['성장', '바다', '언론', '공동체']",애니메이션 음악,성장 바다 언론 공동체,2000,"강원도의 산골마을을 배경으로, 가족과 멀어진 의사가 우연히 과거의 사건과 연결된 사진을 발견한다. 이 과정에서 우정과 신뢰을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 음악의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","강원도의 산골마을을 배경으로, 가족과 멀어진 의사가 우연히 과거의 사건과 연결된 사진을 발견한다. 이 과정에서 우정과 신뢰을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 음악의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 애니메이션 음악 성장 바다 언론 공동체"
100016,낯선 거울의 비밀 016,"전주의 한옥마을을 배경으로, 고향으로 돌아온 요리사가 가족이 숨겨온 오래된 약속의 의미를 알게 된다. 이 과정에서 가족의 의미을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","[{""id"": 2, ""name"": ""코미디""}, {""id"": 5, ""name"": ""미스터리""}]","[{""id"": 123, ""name"": ""역사""}, {""id"": 108, ""name"": ""인공지능""}, {""id"": 116, ""name"": ""학교""}, {""id"": 104, ""name"": ""미스터리""}]",ko,2000-11-12,5.3,2135,33.028,78,False,False,"['코미디', '미스터리']","['역사', '인공지능', '학교', '미스터리']",코미디 미스터리,역사 인공지능 학교 미스터리,2000,"전주의 한옥마을을 배경으로, 고향으로 돌아온 요리사가 가족이 숨겨온 오래된 약속의 의미를 알게 된다. 이 과정에서 가족의 의미을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","전주의 한옥마을을 배경으로, 고향으로 돌아온 요리사가 가족이 숨겨온 오래된 약속의 의미를 알게 된다. 이 과정에서 가족의 의미을 마주하며 자신의 삶을 다시 바라본다. 코미디와 미스터리의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화. 코미디 미스터리 역사 인공지능 학교 미스터리"
100017,잊힌 등대로 가는 길 017,"가상의 미래 도시을 배경으로, 택배 기사가 폐쇄 예정인 공간을 지키기 위한 계획을 세운다. 이 과정에서 상실과 회복을 마주하며 자신의 삶을 다시 바라본다. 범죄와 애니메이션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 7, ""name"": ""범죄""}, {""id"": 12, ""name"": ""애니메이션""}]","[{""id"": 116, ""name"": ""학교""}, {""id"": 102, ""name"": ""우정""}, {""id"": 119, ""name"": ""환경""}, {""id"": 125, ""name"": ""탐정""}]",ko,2001-01-01,7.1,2272,22.182,91,False,False,"['범죄', '애니메이션']","['학교', '우정', '환경', '탐정']",범죄 애니메이션,학교 우정 환경 탐정,2001,"가상의 미래 도시을 배경으로, 택배 기사가 폐쇄 예정인 공간을 지키기 위한 계획을 세운다. 이 과정에서 상실과 회복을 마주하며 자신의 삶을 다시 바라본다. 범죄와 애니메이션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","가상의 미래 도시을 배경으로, 택배 기사가 폐쇄 예정인 공간을 지키기 위한 계획을 세운다. 이 과정에서 상실과 회복을 마주하며 자신의 삶을 다시 바라본다. 범죄와 애니메이션의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 범죄 애니메이션 학교 우정 환경 탐정"
100018,비밀의 기억과 우리 018,"국경 근처의 작은 역을 배경으로, 가족과 멀어진 의사가 수십 년 전 사라진 편지 한 통을 발견한다. 이 과정에서 도전과 성장을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 스릴러의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 12, ""name"": ""애니메이션""}, {""id"": 4, ""name"": ""스릴러""}]","[{""id"": 108, ""name"": ""인공지능""}, {""id"": 104, ""name"": ""미스터리""}, {""id"": 110, ""name"": ""추적""}, {""id"": 115, ""name"": ""요리""}]",ko,2001-02-20,5.1,2409,36.161,104,False,False,"['애니메이션', '스릴러']","['인공지능', '미스터리', '추적', '요리']",애니메이션 스릴러,인공지능 미스터리 추적 요리,2001,"국경 근처의 작은 역을 배경으로, 가족과 멀어진 의사가 수십 년 전 사라진 편지 한 통을 발견한다. 이 과정에서 도전과 성장을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 스릴러의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","국경 근처의 작은 역을 배경으로, 가족과 멀어진 의사가 수십 년 전 사라진 편지 한 통을 발견한다. 이 과정에서 도전과 성장을 마주하며 자신의 삶을 다시 바라본다. 애니메이션와 스릴러의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 애니메이션 스릴러 인공지능 미스터리 추적 요리"
100019,고요한 정원에게 019,"부산항 인근을 배경으로, 고향으로 돌아온 요리사가 가짜 뉴스로 인해 무너진 관계를 회복하려 한다. 이 과정에서 진실과 거짓을 마주하며 자신의 삶을 다시 바라본다. 코미디와 모험의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","[{""id"": 2, ""name"": ""코미디""}, {""id"": 11, ""name"": ""모험""}]","[{""id"": 107, ""name"": ""바다""}, {""id"": 122, ""name"": ""공동체""}, {""id"": 125, ""name"": ""탐정""}, {""id"": 110, ""name"": ""추적""}]",ko,2001-04-11,6.8,2546,27.693,117,False,False,"['코미디', '모험']","['바다', '공동체', '탐정', '추적']",코미디 모험,바다 공동체 탐정 추적,2001,"부산항 인근을 배경으로, 고향으로 돌아온 요리사가 가짜 뉴스로 인해 무너진 관계를 회복하려 한다. 이 과정에서 진실과 거짓을 마주하며 자신의 삶을 다시 바라본다. 코미디와 모험의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화.","부산항 인근을 배경으로, 고향으로 돌아온 요리사가 가짜 뉴스로 인해 무너진 관계를 회복하려 한다. 이 과정에서 진실과 거짓을 마주하며 자신의 삶을 다시 바라본다. 코미디와 모험의 요소를 결합해 이야기를 따뜻한 시선으로 풀어낸 가상의 한국 영화. 코미디 모험 바다 공동체 탐정 추적"
100020,빛나는 그림자 020,"인천의 낡은 공단을 배경으로, 택배 기사가 정체를 알 수 없는 음성 메시지를 매일 받기 시작한다. 이 과정에서 환경과 공존을 마주하며 자신의 삶을 다시 바라본다. 범죄와 로맨스의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","[{""id"": 7, ""name"": ""범죄""}, {""id"": 3, ""name"": ""로맨스""}]","[{""id"": 118, ""name"": ""미래""}, {""id"": 101, ""name"": ""가족""}, {""id"": 109, ""name"": ""로봇""}, {""id"": 120, ""name"": ""언론""}]",ko,2001-05-31,8.4,2683,28.517,130,False,False,"['범죄', '로맨스']","['미래', '가족', '로봇', '언론']",범죄 로맨스,미래 가족 로봇 언론,2001,"인천의 낡은 공단을 배경으로, 택배 기사가 정체를 알 수 없는 음성 메시지를 매일 받기 시작한다. 이 과정에서 환경과 공존을 마주하며 자신의 삶을 다시 바라본다. 범죄와 로맨스의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화.","인천의 낡은 공단을 배경으로, 택배 기사가 정체를 알 수 없는 음성 메시지를 매일 받기 시작한다. 이 과정에서 환경과 공존을 마주하며 자신의 삶을 다시 바라본다. 범죄와 로맨스의 요소를 결합해 이야기를 긴장감 있게 풀어낸 가상의 한국 영화. 범죄 로맨스 미래 가족 로봇 언론"
